,Makespan,MachineUtilization,TotalTardiness,SetupTime,Reward
Double DQN,0.7120112506817298,0.2539261108253329,2.797725373663628,-5.195156285708021,-1.110828189201895
SAC,,,,,
Dueling-Attention DQN,0.9449285878878091,-0.39602657328177315,3.3799049855954446,-4.8900886056384945,-2.2332665468429322
