,Makespan,MachineUtilization,TotalTardiness,SetupTime,Reward
Double DQN,0.4769202504926998,0.799698010420996,0.005423856733175941,3.436794388755803e-07,0.2673857348999217
SAC,,,,,
Dueling-Attention DQN,0.34533085737830116,0.6923206875216484,0.0008047892419979336,1.5234284549058316e-06,0.026147076004673753
