,Makespan,MachineUtilization,TotalTardiness,SetupTime,Reward,TOPSIS
SAC,186.231713192837,0.2500000025663111,968.109406355916,5.5449219541417225,-417.01311666863154,0.8233455253432848
Dueling-Attention DQN,185.8279935105486,0.2500000030630165,947.3919244793846,6.757297710908784,-408.4728429971519,0.1816544032042437
Double DQN,185.902315641303,0.2500000022351741,950.3666598359274,6.789958054158423,-412.9434255095802,0.14318123622524614
